ESTACIÓN;LOCALIZACIÓN;PROVINCIA;LONGITUD;LATITUD;ALTITUD;OPERATIVA
Avila;Estación de autobuses;ÁVILA;"04º41'17"" W";"40º39'31"" N";1150 m;No
Avila II;C/ Los canteros;ÁVILA;"04º42'02""W";"40º39'53""N";1093m;Si
Aranda de Duero 2;C/ Sulidiza;BURGOS;"03º41'20"" W";"41º39'56"" N";801 m;Si
Aranda de Duero;Jardines de Don Diego;BURGOS;"03º41'02"" W";"41º40'16"" N";865 m;No
Burgos1;Plaza de los Lavaderos;BURGOS;"03º40'32"" W";"42º21'03"" N";929 m;Si
Burgos2;Facultad de Teología;BURGOS;"03º40º28"" W";"42º21'04"" N";929 m;No
Burgos3;Plaza de San Agustín;BURGOS;"03º41'02"" W";"41º40'16"" N";929 m;No
Burgos4;Fuentes Blancas;BURGOS;"03º38'10"" W";"42º20'10"" N";929 m;Si
Burgos5;Teresa de Cartagena Saravia;BURGOS;"03º43'16"" W";"42º20'44"" N";929 m;No
Medina de Pomar;Helipuerto;BURGOS;"03º28'31"" W";"42º57'09"" N";613 m;Si
Miranda de Ebro1;Carretera Miranda-Logroño;BURGOS;"02º55'03"" W";"42º41'04"" N";471 m;Si
Miranda de Ebro2;Parque Antonio Cabezón;BURGOS;"02º56'26"" W";"42º41'17"" N";471 m;Si
Miranda de Ebro3;Antiguo Recinto Ferial;BURGOS;"02º57'16"" W";"42º41'15"" N";471 m;No
C.T.Anllares - Anllares;Anllares;LEÓN;"06º32'40"" W";"42º50'47"" N";925 m;Si
C.T.Anllares - Anllarinos;Anllarinos;LEÓN;"06º34'08"" W";"42º50'33"" N";875 m;NO
C.T.Anllares - Hospital del Sil;Hospital del Sil;LEÓN;"06º30'46"" W";"42º49'19"" N";700 m;Si
C.T.Anllares - Lillo;Lillo;LEÓN;"06º36'14"" W";"42º46'53"" N";700 m;Si
C.T.Anllares - Palacios del Sil;Palacios del Sil;LEÓN;"06º26'24"" W";"42º52'40"" N";750 m;Si
C.T.Anllares - PÃ¡ramo del Sil;Páramo del Sil;LEÓN;"06º29'49"" W";"42º49'10"" N";725 m;NO
